datetime,price
2017-06-28 02:02:00,2346.13
2017-06-28 02:02:00,2531.64
2017-06-28 02:03:00,2338.99
2017-06-28 02:03:00,2538.97
2017-06-28 02:04:00,2335.08
2017-06-28 02:04:00,2538.61
2017-06-28 02:05:00,2332.89
2017-06-28 02:05:00,2538.62
2017-06-28 02:06:00,2330.24
2017-06-28 02:06:00,2538.6
2017-06-28 02:07:00,2334.02
2017-06-28 02:07:00,2531.65
2017-06-28 02:08:00,2330.0
2017-06-28 02:08:00,2531.65
2017-06-28 02:09:00,2318.3
2017-06-28 02:09:00,2531.64
2017-06-28 02:10:00,2318.3
2017-06-28 02:10:00,2521.75
2017-06-28 02:11:00,2318.55
2017-06-28 02:11:00,2529.17
2017-06-28 02:12:00,2326.92
2017-06-28 02:12:00,2521.75
2017-06-28 02:13:00,2318.01
2017-06-28 02:13:00,2521.75
2017-06-28 02:14:00,2318.1
2017-06-28 02:14:00,2522.37
2017-06-28 02:15:00,2320.0
2017-06-28 02:15:00,2522.09
2017-06-28 02:16:00,2329.28
2017-06-28 02:16:00,2519.75
2017-06-28 02:17:00,2324.11
2017-06-28 02:17:00,2521.76
2017-06-28 02:18:00,2325.17
2017-06-28 02:18:00,2525.01
2017-06-28 02:19:00,2331.2
2017-06-28 02:19:00,2516.67
2017-06-28 02:20:00,2325.0
2017-06-28 02:20:00,2513.99
2017-06-28 02:21:00,2318.71
2017-06-28 02:21:00,2507.02
2017-06-28 02:22:00,2318.38
2017-06-28 02:22:00,2521.71
2017-06-28 02:23:00,2318.35
2017-06-28 02:23:00,2508.8
2017-06-28 02:24:00,2318.35
2017-06-28 02:24:00,2515.0
2017-06-28 02:25:00,2323.68
2017-06-28 02:25:00,2511.96
2017-06-28 02:26:00,2318.38
2017-06-28 02:26:00,2508.94
2017-06-28 02:27:00,2325.68
2017-06-28 02:27:00,2515.0
2017-06-28 02:28:00,2322.08
2017-06-28 02:28:00,2507.26
2017-06-28 02:29:00,2322.04
2017-06-28 02:29:00,2500.02
2017-06-28 02:30:00,2326.0
2017-06-28 02:30:00,2500.02
2017-06-28 02:31:00,2320.47
2017-06-28 02:31:00,2505.0
2017-06-28 02:32:00,2324.77
2017-06-28 02:32:00,2517.0
2017-06-28 02:33:00,2323.38
2017-06-28 02:33:00,2518.0
2017-06-28 02:34:00,2331.49
2017-06-28 02:34:00,2523.99
2017-06-28 02:35:00,2331.99
2017-06-28 02:35:00,2523.99
2017-06-28 02:36:00,2331.76
2017-06-28 02:36:00,2533.39
2017-06-28 02:37:00,2333.98
2017-06-28 02:37:00,2533.3
2017-06-28 02:38:00,2332.01
2017-06-28 02:38:00,2536.21
2017-06-28 02:39:00,2333.98
2017-06-28 02:39:00,2534.12
2017-06-28 02:40:00,2333.99
2017-06-28 02:40:00,2532.96
2017-06-28 02:41:00,2335.85
2017-06-28 02:41:00,2529.87
2017-06-28 02:42:00,2329.26
2017-06-28 02:42:00,2529.87
2017-06-28 02:43:00,2326.08
2017-06-28 02:43:00,2529.87
2017-06-28 02:44:00,2332.0
2017-06-28 02:44:00,2529.03
2017-06-28 02:45:00,2334.0
2017-06-28 02:45:00,2544.97
2017-06-28 02:46:00,2336.0
